10:04:39 Hybrid tokenizer, passthrough_prob=0.5
10:04:40 Model: 20.64M params, train=184, val=10
10:05:00 step=100 loss=0.14927 lr=4.00e-04 mode=passthrough t=20s
10:05:19 step=200 loss=0.11567 lr=8.00e-04 mode=passthrough t=39s
10:05:39 step=300 loss=0.09676 lr=1.20e-03 mode=passthrough t=59s
10:05:58 step=400 loss=0.09693 lr=1.60e-03 mode=passthrough t=78s
10:06:18 step=500 loss=0.08406 lr=2.00e-03 mode=all-discrete t=98s
10:06:37 step=600 loss=0.07587 lr=2.00e-03 mode=all-discrete t=118s
10:06:57 step=700 loss=0.07449 lr=2.00e-03 mode=all-discrete t=137s
10:07:17 step=800 loss=0.06081 lr=2.00e-03 mode=passthrough t=157s
10:07:36 step=900 loss=0.06645 lr=2.00e-03 mode=passthrough t=176s
10:07:56 step=1000 loss=0.05655 lr=2.00e-03 mode=all-discrete t=196s
10:08:15 step=1100 loss=0.05799 lr=2.00e-03 mode=all-discrete t=215s
10:08:35 step=1200 loss=0.05450 lr=2.00e-03 mode=passthrough t=235s
10:08:55 step=1300 loss=0.06288 lr=2.00e-03 mode=passthrough t=255s
10:09:14 step=1400 loss=0.04913 lr=2.00e-03 mode=passthrough t=274s
10:09:34 step=1500 loss=0.05223 lr=2.00e-03 mode=all-discrete t=294s
10:09:53 step=1600 loss=0.04324 lr=2.00e-03 mode=all-discrete t=313s
10:10:13 step=1700 loss=0.05426 lr=2.00e-03 mode=all-discrete t=333s
10:10:32 step=1800 loss=0.05013 lr=2.00e-03 mode=all-discrete t=353s
10:10:52 step=1900 loss=0.05344 lr=2.00e-03 mode=all-discrete t=372s
10:11:12 step=2000 loss=0.04643 lr=2.00e-03 mode=passthrough t=392s
10:11:31 step=2100 loss=0.04934 lr=2.00e-03 mode=passthrough t=411s
10:11:51 step=2200 loss=0.04441 lr=2.00e-03 mode=all-discrete t=431s
10:12:10 step=2300 loss=0.05176 lr=2.00e-03 mode=all-discrete t=450s
10:12:30 step=2400 loss=0.04319 lr=2.00e-03 mode=all-discrete t=470s
10:12:50 step=2500 loss=0.03878 lr=2.00e-03 mode=all-discrete t=490s
10:13:09 step=2600 loss=0.04448 lr=2.00e-03 mode=passthrough t=509s
10:13:29 step=2700 loss=0.04475 lr=2.00e-03 mode=passthrough t=529s
10:13:48 step=2800 loss=0.04163 lr=2.00e-03 mode=passthrough t=549s
10:14:08 step=2900 loss=0.04369 lr=2.00e-03 mode=passthrough t=568s
10:14:28 step=3000 loss=0.04507 lr=2.00e-03 mode=all-discrete t=588s
10:14:40 VAL step=3062 epoch=34 val=0.04230
10:14:41   New best: 0.04230
10:14:48 step=3100 loss=0.04026 lr=2.00e-03 mode=all-discrete t=608s
10:15:08 step=3200 loss=0.04187 lr=2.00e-03 mode=passthrough t=628s
10:15:27 step=3300 loss=0.04495 lr=2.00e-03 mode=all-discrete t=647s
10:15:47 step=3400 loss=0.04085 lr=2.00e-03 mode=passthrough t=667s
10:16:07 step=3500 loss=0.04134 lr=2.00e-03 mode=all-discrete t=687s
10:16:26 step=3600 loss=0.04606 lr=2.00e-03 mode=all-discrete t=706s
10:16:46 step=3700 loss=0.04293 lr=2.00e-03 mode=passthrough t=726s
10:17:06 step=3800 loss=0.03535 lr=2.00e-03 mode=passthrough t=746s
10:17:25 step=3900 loss=0.03622 lr=2.00e-03 mode=all-discrete t=765s
10:17:45 step=4000 loss=0.04043 lr=2.00e-03 mode=passthrough t=785s
10:18:04 step=4100 loss=0.04767 lr=2.00e-03 mode=passthrough t=804s
10:18:24 step=4200 loss=0.03704 lr=2.00e-03 mode=all-discrete t=824s
10:18:43 step=4300 loss=0.04459 lr=2.00e-03 mode=all-discrete t=844s
10:19:03 step=4400 loss=0.03673 lr=2.00e-03 mode=passthrough t=863s
10:19:23 step=4500 loss=0.03990 lr=2.00e-03 mode=passthrough t=883s
10:19:42 step=4600 loss=0.03867 lr=2.00e-03 mode=all-discrete t=902s
10:20:02 step=4700 loss=0.03916 lr=2.00e-03 mode=all-discrete t=922s
10:20:21 step=4800 loss=0.04222 lr=2.00e-03 mode=all-discrete t=942s
10:20:41 step=4900 loss=0.04313 lr=2.00e-03 mode=passthrough t=961s
10:21:01 step=5000 loss=0.03187 lr=2.00e-03 mode=passthrough t=981s
10:21:20 step=5100 loss=0.04155 lr=2.00e-03 mode=all-discrete t=1000s
10:21:40 step=5200 loss=0.03843 lr=2.00e-03 mode=passthrough t=1020s
10:21:59 step=5300 loss=0.03551 lr=2.00e-03 mode=all-discrete t=1040s
10:22:19 step=5400 loss=0.03922 lr=2.00e-03 mode=passthrough t=1059s
10:22:39 step=5500 loss=0.03815 lr=2.00e-03 mode=all-discrete t=1079s
10:22:58 step=5600 loss=0.03334 lr=2.00e-03 mode=passthrough t=1098s
10:23:18 step=5700 loss=0.03305 lr=2.00e-03 mode=all-discrete t=1118s
10:23:38 step=5800 loss=0.03746 lr=2.00e-03 mode=passthrough t=1138s
10:23:57 step=5900 loss=0.03989 lr=2.00e-03 mode=passthrough t=1157s
10:24:17 step=6000 loss=0.03918 lr=2.00e-03 mode=all-discrete t=1177s
10:24:36 step=6100 loss=0.03632 lr=2.00e-03 mode=all-discrete t=1196s
10:24:40 VAL step=6118 epoch=67 val=0.03856
10:24:41   New best: 0.03856
